COUNTYNAME,CasesAll,Deaths,T_total
GILCHRIST,602,18,5016
PUTNAM,2355,50,19344
TAYLOR,1450,16,7170
OKALOOSA,6146,130,44602
CALHOUN,702,14,5254
PALM BEACH,50525,1561,415627
ST. LUCIE,8893,329,70264
PASCO,10600,236,105566
GADSDEN,3051,55,18259
LEON,11991,112,100027
JEFFERSON,659,9,4275
MADISON,1073,24,6435
LIBERTY,532,10,3767
HAMILTON,901,9,5770
BAY,6655,132,39992
COLUMBIA,4211,71,19229
BAKER,1750,19,9005
HOLMES,885,12,5750
MARTIN,5287,164,41839
HILLSBOROUGH,46907,759,360281
MANATEE,12971,327,119440
CLAY,5948,117,55256
HARDEE,1578,16,8700
MARION,10694,345,82658
VOLUSIA,12453,316,107162
DIXIE,885,11,5669
LAKE,8445,225,94150
LEVY,1120,12,9504
SUMTER,2849,84,26820
SEMINOLE,10044,236,93718
ORANGE,45042,546,394023
CITRUS,3162,130,29476
HERNANDO,3609,165,33209
PINELLAS,25130,816,249764
SUWANNEE,2972,77,12339
DUVAL,34260,513,310764
LAFAYETTE,1272,16,2833
GULF,934,15,6198
UNION,1118,41,10054
BRADFORD,1221,15,7493
WAKULLA,1300,11,11363
BREVARD,11055,366,119049
POLK,22541,615,157498
OSCEOLA,13905,194,96373
HIGHLANDS,2545,110,23622
LEE,22711,506,159468
COLLIER,14087,253,89967
DADE,181942,3612,1032525
MONROE,2186,25,20662
SANTA ROSA,5863,86,40906
WALTON,2357,29,15452
JACKSON,3100,83,17969
WASHINGTON,1216,24,7384
NASSAU,2429,50,23988
GLADES,595,6,1661
CHARLOTTE,3509,157,39463
SARASOTA,9392,330,107538
DESOTO,1652,29,11834
FLAGLER,2076,37,23068
HENDRY,2191,43,10978
INDIAN RIVER,3714,125,41504
BROWARD,83450,1520,643892
ESCAMBIA,13296,269,103324
OKEECHOBEE,1714,38,12117
FRANKLIN,747,4,5462
ALACHUA,10044,74,110327
ST. JOHNS,6280,80,66678
Unknown,1857,0,19276
A State,778636,16429,5960050
