County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Adams County,Illinois,17001,11.4,6.8,18.2
Alexander County,Illinois,17003,3.6,1.4,7.5
Bond County,Illinois,17005,6.1,2.4,15
Boone County,Illinois,17007,7.8,4.6,12.8
Brown County,Illinois,17009,8.2,2.9,21.6
Bureau County,Illinois,17011,12.6,5.9,21.9
Calhoun County,Illinois,17013,7.9,3.3,20.1
Carroll County,Illinois,17015,7.3,2.8,18.7
Cass County,Illinois,17017,5.6,2.5,10.2
Champaign County,Illinois,17019,9.9,7.1,13.2
Christian County,Illinois,17021,8.5,4.1,15.4
Clark County,Illinois,17023,9,4.2,19
Clay County,Illinois,17025,13,5,33.7
Clinton County,Illinois,17027,5.7,2.7,12
Coles County,Illinois,17029,11.8,6.5,19.8
Cook County,Illinois,17031,8.9,8.2,9.6
Crawford County,Illinois,17033,9,4.1,19.7
Cumberland County,Illinois,17035,8.7,4,18.4
De Witt County,Illinois,17039,16.7,6.6,37.6
DeKalb County,Illinois,17037,6.8,4.4,10.2
Douglas County,Illinois,17041,9.3,3.6,22.7
DuPage County,Illinois,17043,6.4,5.2,7.7
Edgar County,Illinois,17045,8.5,4.7,13.8
Edwards County,Illinois,17047,6.1,3.1,11.2
Effingham County,Illinois,17049,11.5,5.9,20.8
Fayette County,Illinois,17051,8.7,4,17.9
Ford County,Illinois,17053,4.8,2.2,10.1
Franklin County,Illinois,17055,12.6,5.8,22.4
Fulton County,Illinois,17057,6.1,2.5,14
Gallatin County,Illinois,17059,6.8,2.9,14.6
Greene County,Illinois,17061,6.6,2.7,15.9
Grundy County,Illinois,17063,8.9,4.3,16.2
Hamilton County,Illinois,17065,6.3,3,11.9
Hancock County,Illinois,17067,6.3,3.3,11.5
Hardin County,Illinois,17069,7.8,2.6,18.5
Henderson County,Illinois,17071,9.9,4.3,20.5
Henry County,Illinois,17073,9.2,5,16.3
Iroquois County,Illinois,17075,6.3,2.3,15.5
Jackson County,Illinois,17077,8.3,4.2,13.9
Jasper County,Illinois,17079,7.4,2.8,16.9
Jefferson County,Illinois,17081,6.9,3.4,13.1
Jersey County,Illinois,17083,12.9,5.4,31.6
Jo Daviess County,Illinois,17085,7.1,3.7,13.1
Johnson County,Illinois,17087,7.2,3.4,13.6
Kane County,Illinois,17089,9.2,7.3,11.4
Kankakee County,Illinois,17091,11.7,7.6,18
Kendall County,Illinois,17093,8.6,5.5,12.6
Knox County,Illinois,17095,10.9,6.1,18.7
Lake County,Illinois,17097,7.6,6.2,9.3
LaSalle County,Illinois,17099,12,7.5,18.5
Lawrence County,Illinois,17101,17.5,6.6,38.3
Lee County,Illinois,17103,6,3.2,10.3
Livingston County,Illinois,17105,10,5.3,18.2
Logan County,Illinois,17107,12.6,5.7,25.8
Macon County,Illinois,17115,16.8,9.5,26.2
Macoupin County,Illinois,17117,11.5,5.7,21
Madison County,Illinois,17119,10.2,7.4,13.2
Marion County,Illinois,17121,13.5,6.7,26.8
Marshall County,Illinois,17123,9.9,4.6,21
Mason County,Illinois,17125,7.1,2.6,14.4
Massac County,Illinois,17127,14.2,5.7,32.2
McDonough County,Illinois,17109,11,4.6,24.4
McHenry County,Illinois,17111,7.8,5.9,10
McLean County,Illinois,17113,10.1,6.7,14.7
Menard County,Illinois,17129,9.4,4.2,18.4
Mercer County,Illinois,17131,6.8,3.4,13.7
Monroe County,Illinois,17133,8.1,4.1,14.8
Montgomery County,Illinois,17135,10.4,4.8,19.5
Morgan County,Illinois,17137,16.4,8.2,29.9
Moultrie County,Illinois,17139,6,2.8,12.4
Ogle County,Illinois,17141,7.8,4.4,13.6
Peoria County,Illinois,17143,11.2,7.5,15.9
Perry County,Illinois,17145,8.5,3.4,18.6
Piatt County,Illinois,17147,6.3,2.7,12
Pike County,Illinois,17149,13.7,5.8,26.5
Pope County,Illinois,17151,10.2,3.9,32.7
Pulaski County,Illinois,17153,6.1,2.6,13.8
Putnam County,Illinois,17155,6.1,2.4,15.4
Randolph County,Illinois,17157,14.1,6.1,27.1
Richland County,Illinois,17159,8.9,4.5,17.4
Rock Island County,Illinois,17161,9.8,6.8,13.2
Saline County,Illinois,17165,7.2,3.7,12.8
Sangamon County,Illinois,17167,9,6.2,12.4
Schuyler County,Illinois,17169,8.5,3.6,18.3
Scott County,Illinois,17171,11.7,4.4,27.5
Shelby County,Illinois,17173,6.9,3.3,13.6
St. Clair County,Illinois,17163,9,6.3,12.2
Stark County,Illinois,17175,5,2.3,10
Stephenson County,Illinois,17177,9,4.9,15.6
Tazewell County,Illinois,17179,8.2,5.2,12.2
Union County,Illinois,17181,9.8,4.2,22
Vermilion County,Illinois,17183,10.9,5.8,18.6
Wabash County,Illinois,17185,8.7,3,19.4
Warren County,Illinois,17187,16.5,8.5,29
Washington County,Illinois,17189,6.1,3,10.8
Wayne County,Illinois,17191,18.6,7.9,39.6
White County,Illinois,17193,6.4,3.2,11.9
Whiteside County,Illinois,17195,13.5,7.5,21.8
Will County,Illinois,17197,9.1,7.5,11
Williamson County,Illinois,17199,11.3,7.2,18
Winnebago County,Illinois,17201,9.5,7.1,12.1
Woodford County,Illinois,17203,9.6,4.4,19.2
